trait,access,author,category,consortium,id,mr,ncase,ncontrol,note,nsnp,pmid,population,priority,sample_size,sd,unit,sex,subcategory,year,EFO,EFO_id,match
Paget's disease,public,Albagha OM,Disease,NA,975,1,741,2699,NA,2479235,21623375,European,1,3440,NA,log odds,Males and females,Bone,2013,osteitis deformans,EFO:0004261,high
Pallidum volume,public,Hibar,Risk factor,ENIGMA,1046,1,NA,NA,adjusted for intracranial volume,7270265,25607358,European,1,30717,NA,mm3,Males and females,Psychiatric / neurological,2013,pallidum volume,EFO:0006933,high
Acetoacetate,public,Kettunen,Metabolites,NA,838,1,NA,NA,AcAce,11809755,27005778,European,1,19262,NA,SD,Males and females,Keto acid,2016,,,
Acetate,public,Kettunen,Metabolites,NA,839,1,NA,NA,Ace,12082155,27005778,European,1,24748,NA,SD,Males and females,Metabolite salt,2016,,,
Alanine,public,Kettunen,Metabolites,NA,840,1,NA,NA,NA,12091566,27005778,European,1,24796,NA,SD,Males and females,Amino acid,2016,,,
Albumin,public,Kettunen,Metabolites,NA,841,1,NA,NA,Alb,11703182,27005778,European,1,18960,NA,SD,Males and females,Protein,2016,,,
Apolipoprotein A-I,public,Kettunen,Metabolites,NA,842,1,NA,NA,ApoA1,11760646,27005778,European,1,20687,NA,SD,Males and females,Protein,2016,,,
Apolipoprotein B,public,Kettunen,Metabolites,NA,843,1,NA,NA,ApoB,11813266,27005778,European,1,20690,NA,SD,Males and females,Protein,2016,,,
Ratio of bisallylic groups to double bonds,public,Kettunen,Metabolites,NA,844,1,NA,NA,Bis.DB.ratio,11408861,27005778,European,1,13524,NA,SD,Males and females,Metabolites ratio,2016,,,
Ratio of bisallylic groups to total fatty acids,public,Kettunen,Metabolites,NA,845,1,NA,NA,NA,11274684,27005778,European,1,13171,NA,SD,Males and females,Fatty acid,2016,,,
3-hydroxybutyrate,public,Kettunen,Metabolites,NA,846,1,NA,NA,BOHBut,11977365,27005778,European,1,24154,NA,SD,Males and females,Lipid,2016,,,
Average number of methylene groups per double bond,public,Kettunen,Metabolites,NA,847,1,NA,NA,CH2.DB.ratio,11416675,27005778,European,1,13532,NA,SD,Males and females,Metabolites ratio,2016,,,
Average number of methylene groups in a fatty acid chain,public,Kettunen,Metabolites,NA,848,1,NA,NA,NA,11674953,27005778,European,1,19021,NA,SD,Males and females,Fatty acid,2016,,,
Citrate,public,Kettunen,Metabolites,NA,849,1,NA,NA,NA,12086145,27005778,European,1,24770,NA,SD,Males and females,Energy,2016,,,
Creatinine,public,Kettunen,Metabolites,NA,850,1,NA,NA,NA,12087816,27005778,European,1,24810,NA,SD,Males and females,Amino acid,2016,,,
Average number of double bonds in a fatty acid chain,public,Kettunen,Metabolites,NA,851,1,NA,NA,NA,11621406,27005778,European,1,15728,NA,SD,Males and females,Fatty acid,2016,,,
"22:6, docosahexaenoic acid",public,Kettunen,Metabolites,NA,852,1,NA,NA,NA,11415610,27005778,European,1,13499,NA,SD,Males and females,Fatty acid,2016,,,
Free cholesterol to esterified cholesterol ratio,public,Kettunen,Metabolites,NA,853,1,NA,NA,Est.C,11414918,27005778,European,1,13497,NA,SD,Males and females,Lipid,2016,,,
"Description of average fatty acid chain length, not actual carbon number",public,Kettunen,Metabolites,NA,854,1,NA,NA,NA,11409868,27005778,European,1,13476,NA,SD,Males and females,Fatty acid,2016,,,
Omega-3 fatty acids,public,Kettunen,Metabolites,NA,855,1,NA,NA,NA,11401623,27005778,European,1,13544,NA,SD,Males and females,Fatty acid,2016,,,
Omega-6 fatty acids,public,Kettunen,Metabolites,NA,856,1,NA,NA,NA,11398837,27005778,European,1,13506,NA,SD,Males and females,Fatty acid,2016,,,
Omega-9 and saturated fatty acids,public,Kettunen,Metabolites,NA,857,1,NA,NA,NA,11412520,27005778,European,1,13506,NA,SD,Males and females,Fatty acid,2016,,,
Free cholesterol,public,Kettunen,Metabolites,NA,858,1,NA,NA,Free.C,11410176,27005778,European,1,13497,NA,SD,Males and females,Lipid,2016,,,
Glucose,public,Kettunen,Metabolites,NA,859,1,NA,NA,NA,12052259,27005778,European,1,24679,NA,SD,Males and females,Carbohydrate,2016,,,
Glutamine,public,Kettunen,Metabolites,NA,860,1,NA,NA,NA,11976419,27005778,European,1,24462,NA,SD,Males and females,Amino acid,2016,,,
Glycerol,public,Kettunen,Metabolites,NA,861,1,NA,NA,Glol,11360671,27005778,European,1,20235,NA,SD,Males and females,Lipid,2016,,,
Glycoproteins,public,Kettunen,Metabolites,NA,862,1,NA,NA,Gly,11512434,27005778,European,1,18734,NA,SD,Males and females,Protein,2016,,,
Glycoprotein acetyls,public,Kettunen,Metabolites,NA,863,1,NA,NA,Gp; mainly a1-acid glycoprotein,11820605,27005778,European,1,19270,NA,SD,Males and females,Protein,2016,,,
Total cholesterol in HDL,public,Kettunen,Metabolites,NA,864,1,NA,NA,HDL.C,11865530,27005778,European,1,21555,NA,SD,Males and females,Lipid,2016,,,
Mean diameter for HDL particles,public,Kettunen,Metabolites,NA,865,1,NA,NA,HDL.D,11803445,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Histidine,public,Kettunen,Metabolites,NA,866,1,NA,NA,NA,11811025,27005778,European,1,19244,NA,SD,Males and females,Amino acid,2016,,,
Total cholesterol in IDL,public,Kettunen,Metabolites,NA,867,1,NA,NA,IDL.C,11820655,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Free cholesterol in IDL,public,Kettunen,Metabolites,NA,868,1,NA,NA,IDL.FC,11861199,27005778,European,1,21559,NA,SD,Males and females,Lipid,2016,,,
Total lipids in IDL,public,Kettunen,Metabolites,NA,869,1,NA,NA,IDL.L,11820646,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Concentration of IDL particles,public,Kettunen,Metabolites,NA,870,1,NA,NA,IDL.P,11820652,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Phospholipids in IDL,public,Kettunen,Metabolites,NA,871,1,NA,NA,IDL.PL,11871461,27005778,European,1,21559,NA,SD,Males and females,Lipid,2016,,,
Triglycerides in IDL,public,Kettunen,Metabolites,NA,872,1,NA,NA,IDL.TG,11820642,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Isoleucine,public,Kettunen,Metabolites,NA,873,1,NA,NA,NA,12076452,27005778,European,1,24776,NA,SD,Males and females,Amino acid,2016,,,
Total cholesterol in large HDL,public,Kettunen,Metabolites,NA,874,1,NA,NA,L.HDL.C,11861714,27005778,European,1,21558,NA,SD,Males and females,Lipid,2016,,,
Cholesterol esters in large HDL,public,Kettunen,Metabolites,NA,875,1,NA,NA,L.HDL.CE,11820655,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Free cholesterol in large HDL,public,Kettunen,Metabolites,NA,876,1,NA,NA,L.HDL.FC,11869426,27005778,European,1,21559,NA,SD,Males and females,Lipid,2016,,,
Total lipids in large HDL,public,Kettunen,Metabolites,NA,877,1,NA,NA,L.HDL.L,11820655,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Concentration of large HDL particles,public,Kettunen,Metabolites,NA,878,1,NA,NA,L.HDL.P,11814787,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Phospholipids in large HDL,public,Kettunen,Metabolites,NA,879,1,NA,NA,L.HDL.PL,11820655,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Total cholesterol in large LDL,public,Kettunen,Metabolites,NA,880,1,NA,NA,L.LDL.C,11871461,27005778,European,1,21552,NA,SD,Males and females,Lipid,2016,,,
Cholesterol esters in large VLDL,public,Kettunen,Metabolites,NA,881,1,NA,NA,L.LDL.CE,11820655,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Free cholesterol in large LDL,public,Kettunen,Metabolites,NA,882,1,NA,NA,L.LDL.FC,11871425,27005778,European,1,21555,NA,SD,Males and females,Lipid,2016,,,
Total lipids in large LDL,public,Kettunen,Metabolites,NA,883,1,NA,NA,L.LDL.L,11820652,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Concentration of large LDL particles,public,Kettunen,Metabolites,NA,884,1,NA,NA,L.LDL.P,11820653,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Phospholipids in large LDL,public,Kettunen,Metabolites,NA,885,1,NA,NA,L.LDL.PL,11871461,27005778,European,1,21550,NA,SD,Males and females,Lipid,2016,,,
Total cholesterol in large VLDL,public,Kettunen,Metabolites,NA,886,1,NA,NA,L.VLDL.C,11738380,27005778,European,1,21235,NA,SD,Males and females,Lipid,2016,,,
Cholesterol esters in large VLDL,public,Kettunen,Metabolites,NA,887,1,NA,NA,L.VLDL.CE,11697414,27005778,European,1,18960,NA,SD,Males and females,Lipid,2016,,,
Free cholesterol in large VLDL,public,Kettunen,Metabolites,NA,888,1,NA,NA,L.VLDL.FC,11766529,27005778,European,1,21238,NA,SD,Males and females,Lipid,2016,,,
Total lipids in large VLDL,public,Kettunen,Metabolites,NA,889,1,NA,NA,L.VLDL.L,11708802,27005778,European,1,18960,NA,SD,Males and females,Lipid,2016,,,
Concentration of large VLDL particles,public,Kettunen,Metabolites,NA,890,1,NA,NA,L.VLDL.P,11708802,27005778,European,1,18960,NA,SD,Males and females,Lipid,2016,,,
Phospholipids in large VLDL,public,Kettunen,Metabolites,NA,891,1,NA,NA,L.VLDL.PL,11722347,27005778,European,1,21239,NA,SD,Males and females,Lipid,2016,,,
Triglycerides in large VLDL,public,Kettunen,Metabolites,NA,892,1,NA,NA,L.VLDL.TG,11753671,27005778,European,1,21239,NA,SD,Males and females,Lipid,2016,,,
"18:2, linoleic acid (LA)",public,Kettunen,Metabolites,NA,893,1,NA,NA,NA,11417510,27005778,European,1,13527,NA,SD,Males and females,Fatty acid,2016,,,
Lactate,public,Kettunen,Metabolites,NA,894,1,NA,NA,NA,12078471,27005778,European,1,24871,NA,SD,Males and females,Carbohydrate,2016,,,
Total cholesterol in LDL,public,Kettunen,Metabolites,NA,895,1,NA,NA,LDL.C,11871461,27005778,European,1,21559,NA,SD,Males and females,Lipid,2016,,,
Mean diameter for LDL particles,public,Kettunen,Metabolites,NA,896,1,NA,NA,LDL.D,11820640,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Leucine,public,Kettunen,Metabolites,NA,897,1,NA,NA,NA,12078191,27005778,European,1,24728,NA,SD,Males and females,Amino acid,2016,,,
Total cholesterol in medium HDL,public,Kettunen,Metabolites,NA,898,1,NA,NA,M.HDL.C,11864118,27005778,European,1,21558,NA,SD,Males and females,Lipid,2016,,,
Cholesterol esters in medium HDL,public,Kettunen,Metabolites,NA,899,1,NA,NA,M.HDL.CE,11807639,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Free cholesterol in medium HDL,public,Kettunen,Metabolites,NA,900,1,NA,NA,M.HDL.FC,11869673,27005778,European,1,21559,NA,SD,Males and females,Lipid,2016,,,
Total lipids in medium HDL,public,Kettunen,Metabolites,NA,901,1,NA,NA,M.HDL.L,11820655,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Concentration of medium HDL particles,public,Kettunen,Metabolites,NA,902,1,NA,NA,M.HDL.P,11820655,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Phospholipids in medium HDL,public,Kettunen,Metabolites,NA,903,1,NA,NA,M.HDL.PL,11871422,27005778,European,1,21558,NA,SD,Males and females,Lipid,2016,,,
Total cholesterol in medium LDL,public,Kettunen,Metabolites,NA,904,1,NA,NA,M.LDL.C,11862863,27005778,European,1,21559,NA,SD,Males and females,Lipid,2016,,,
Cholesterol esters in medium LDL,public,Kettunen,Metabolites,NA,905,1,NA,NA,M.LDL.CE,11820631,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Total lipids in medium LDL,public,Kettunen,Metabolites,NA,906,1,NA,NA,M.LDL.L,11818458,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Concentration of medium LDL particles,public,Kettunen,Metabolites,NA,907,1,NA,NA,M.LDL.P,11818918,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Phospholipids in medium LDL,public,Kettunen,Metabolites,NA,908,1,NA,NA,M.LDL.PL,11871461,27005778,European,1,21558,NA,SD,Males and females,Lipid,2016,,,
Total cholesterol in medium VLDL,public,Kettunen,Metabolites,NA,909,1,NA,NA,M.VLDL.C,11871461,27005778,European,1,21551,NA,SD,Males and females,Lipid,2016,,,
Cholesterol esters in medium VLDL,public,Kettunen,Metabolites,NA,910,1,NA,NA,M.VLDL.CE,11820655,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Free cholesterol in medium VLDL,public,Kettunen,Metabolites,NA,911,1,NA,NA,M.VLDL.FC,11766527,27005778,European,1,21240,NA,SD,Males and females,Lipid,2016,,,
Total lipids in medium VLDL,public,Kettunen,Metabolites,NA,912,1,NA,NA,M.VLDL.L,11820655,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Concentration of medium VLDL particles,public,Kettunen,Metabolites,NA,913,1,NA,NA,M.VLDL.P,11819006,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Phospholipids in medium VLDL,public,Kettunen,Metabolites,NA,914,1,NA,NA,M.VLDL.PL,11766530,27005778,European,1,21240,NA,SD,Males and females,Lipid,2016,,,
Triglycerides in medium VLDL,public,Kettunen,Metabolites,NA,915,1,NA,NA,M.VLDL.TG,11766530,27005778,European,1,21241,NA,SD,Males and females,Lipid,2016,,,
Mono-unsaturated fatty acids,public,Kettunen,Metabolites,NA,916,1,NA,NA,NA,11417715,27005778,European,1,13535,NA,SD,Males and females,Fatty acid,2016,,,
Other polyunsaturated fatty acids than 18:2,public,Kettunen,Metabolites,NA,917,1,NA,NA,NA,11407336,27005778,European,1,13549,NA,SD,Males and females,Fatty acid,2016,,,
Phosphatidylcholine and other cholines,public,Kettunen,Metabolites,NA,918,1,NA,NA,PC,11419086,27005778,European,1,13542,NA,SD,Males and females,Lipid,2016,,,
Phenylalanine,public,Kettunen,Metabolites,NA,919,1,NA,NA,NA,12042964,27005778,European,1,22663,NA,SD,Males and females,Amino acid,2016,,,
Pyruvate,public,Kettunen,Metabolites,NA,920,1,NA,NA,NA,12079526,27005778,European,1,24756,NA,SD,Males and females,Carbohydrate,2016,,,
Total lipids in small HDL,public,Kettunen,Metabolites,NA,921,1,NA,NA,S.HDL.L,11805157,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Concentration of small HDL particles,public,Kettunen,Metabolites,NA,922,1,NA,NA,S.HDL.P,11820655,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Triglycerides in small HDL,public,Kettunen,Metabolites,NA,923,1,NA,NA,S.HDL.TG,11871440,27005778,European,1,21558,NA,SD,Males and females,Lipid,2016,,,
Total cholesterol in small LDL,public,Kettunen,Metabolites,NA,924,1,NA,NA,S.LDL.C,11871461,27005778,European,1,21556,NA,SD,Males and females,Lipid,2016,,,
Total lipids in small LDL,public,Kettunen,Metabolites,NA,925,1,NA,NA,S.LDL.L,11820193,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Concentration of small LDL particles,public,Kettunen,Metabolites,NA,926,1,NA,NA,S.LDL.P,11820655,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Total cholesterol in small VLDL,public,Kettunen,Metabolites,NA,927,1,NA,NA,S.VLDL.C,11856411,27005778,European,1,21557,NA,SD,Males and females,Lipid,2016,,,
Free cholesterol in small VLDL,public,Kettunen,Metabolites,NA,928,1,NA,NA,S.VLDL.FC,11850620,27005778,European,1,21559,NA,SD,Males and females,Lipid,2016,,,
Total lipids in small VLDL,public,Kettunen,Metabolites,NA,929,1,NA,NA,S.VLDL.L,11817034,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Concentration of small VLDL particles,public,Kettunen,Metabolites,NA,930,1,NA,NA,S.VLDL.P,11820641,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Phospholipids in small VLDL,public,Kettunen,Metabolites,NA,931,1,NA,NA,S.VLDL.PL,11866342,27005778,European,1,21551,NA,SD,Males and females,Lipid,2016,,,
Triglycerides in small VLDL,public,Kettunen,Metabolites,NA,932,1,NA,NA,S.VLDL.TG,11859725,27005778,European,1,21558,NA,SD,Males and females,Lipid,2016,,,
Serum total cholesterol,public,Kettunen,Metabolites,NA,933,1,NA,NA,Serum.C,11855845,27005778,European,1,21491,NA,SD,Males and females,Lipid,2016,,,
Serum total triglycerides,public,Kettunen,Metabolites,NA,934,1,NA,NA,Serum.TG,11871391,27005778,European,1,21545,NA,SD,Males and females,Lipid,2016,,,
Sphingomyelins,public,Kettunen,Metabolites,NA,935,1,NA,NA,SM,11417530,27005778,European,1,13476,NA,SD,Males and females,Lipid,2016,,,
Total fatty acids,public,Kettunen,Metabolites,NA,936,1,NA,NA,NA,11412092,27005778,European,1,13505,NA,SD,Males and females,Fatty acid,2016,,,
Total phosphoglycerides,public,Kettunen,Metabolites,NA,937,1,NA,NA,TotPG,11416877,27005778,European,1,13519,NA,SD,Males and females,Lipid,2016,,,
Tyrosine,public,Kettunen,Metabolites,NA,938,1,NA,NA,NA,12090785,27005778,European,1,24925,NA,SD,Males and females,Amino acid,2016,,,
Urea,public,Kettunen,Metabolites,NA,939,1,NA,NA,NA,11807298,27005778,European,1,18814,NA,SD,Males and females,Amino acid,2016,,,
Valine,public,Kettunen,Metabolites,NA,940,1,NA,NA,NA,12092490,27005778,European,1,24900,NA,SD,Males and females,Amino acid,2016,,,
Mean diameter for VLDL particles,public,Kettunen,Metabolites,NA,941,1,NA,NA,VLDL.D,11820646,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Total cholesterol in very large HDL,public,Kettunen,Metabolites,NA,942,1,NA,NA,XL.HDL.C,11870684,27005778,European,1,21540,NA,SD,Males and females,Lipid,2016,,,
Cholesterol esters in very large HDL,public,Kettunen,Metabolites,NA,943,1,NA,NA,XL.HDL.CE,11806428,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Free cholesterol in very large HDL,public,Kettunen,Metabolites,NA,944,1,NA,NA,XL.HDL.FC,11871391,27005778,European,1,21542,NA,SD,Males and females,Lipid,2016,,,
Total lipids in very large HDL,public,Kettunen,Metabolites,NA,945,1,NA,NA,XL.HDL.L,11798042,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Concentration of very large HDL particles,public,Kettunen,Metabolites,NA,946,1,NA,NA,XL.HDL.P,11820632,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Phospholipids in very large HDL,public,Kettunen,Metabolites,NA,947,1,NA,NA,XL.HDL.PL,11820655,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Triglycerides in very large HDL,public,Kettunen,Metabolites,NA,948,1,NA,NA,XL.HDL.TG,11871386,27005778,European,1,21536,NA,SD,Males and females,Lipid,2016,,,
Total lipids in very large VLDL,public,Kettunen,Metabolites,NA,949,1,NA,NA,XL.VLDL.L,11808241,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Concentration of very large VLDL particles,public,Kettunen,Metabolites,NA,950,1,NA,NA,XL.VLDL.P,11382413,27005778,European,1,18960,NA,SD,Males and females,Lipid,2016,,,
Phospholipids in very large VLDL,public,Kettunen,Metabolites,NA,951,1,NA,NA,XL.VLDL.PL,11759843,27005778,European,1,21237,NA,SD,Males and females,Lipid,2016,,,
Triglycerides in very large VLDL,public,Kettunen,Metabolites,NA,952,1,NA,NA,XL.VLDL.TG,11814232,27005778,European,1,21548,NA,SD,Males and females,Lipid,2016,,,
Total lipids in very small VLDL,public,Kettunen,Metabolites,NA,953,1,NA,NA,XS.VLDL.L,11820654,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Concentration of very small VLDL particles,public,Kettunen,Metabolites,NA,954,1,NA,NA,XS.VLDL.P,11797264,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Phospholipids in very small VLDL,public,Kettunen,Metabolites,NA,955,1,NA,NA,XS.VLDL.PL,11813718,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Triglycerides in very small VLDL,public,Kettunen,Metabolites,NA,956,1,NA,NA,XS.VLDL.TG,11820655,27005778,European,1,19273,NA,SD,Males and females,Lipid,2016,,,
Total lipids in chylomicrons and largest VLDL particles,public,Kettunen,Metabolites,NA,957,1,NA,NA,XXL.VLDL.L,11708802,27005778,European,1,18960,NA,SD,Males and females,Lipid,2016,,,
Concentration of chylomicrons and largest VLDL particles,public,Kettunen,Metabolites,NA,958,1,NA,NA,XXL.VLDL.P,11598671,27005778,European,1,18960,NA,SD,Males and females,Lipid,2016,,,
Phospholipids in chylomicrons and largest VLDL particles,public,Kettunen,Metabolites,NA,959,1,NA,NA,XXL.VLDL.PL,11871391,27005778,European,1,21542,NA,SD,Males and females,Lipid,2016,,,
Triglycerides in chylomicrons and largest VLDL particles,public,Kettunen,Metabolites,NA,960,1,NA,NA,XXL.VLDL.TG,11843388,27005778,European,1,21540,NA,SD,Males and females,Lipid,2016,,,
Pancreatic cancer,public,Amundadottir L,Disease,PanScan1,822,1,1896,1939,NA,521863,19648918,European,1,3835,NA,log odds,Males and females,Cancer,2010,pancreatic carcinoma,EFO:0002618,high
Parents' age at death,public,Pilling,Risk factor,UK Biobank,1094,1,NA,NA,Combined parents age at death (z-scored); Results from interim Biobank release enriched for smokers; could lead to bias through collider issues in MR,9583643,27015805,European,1,75244,NA,SD,Males and females,Aging,2010,parental longevity,EFO:0007796,high
Parkinson's disease,public,Simon-Sanchez J,Disease,NA,812,1,1713,3978,Effect allele frequencies are missing,453218,19915575,European,2,5691,NA,log odds,Males and females,Psychiatric / neurological,2010,Parkinson's disease,EFO:0002508,high
Parkinson's disease,public,Pankratz,Disease,NA,818,1,816,856,Familial Parkinson's disease; effect allele frequencies are missing,318553,21829596,European,1,1672,NA,log odds,Males and females,Psychiatric / neurological,2010,,,
Percent emphysema,public,Manichaikul A,Risk factor,MESA,1005,1,NA,NA,NA,2968584,24383474,Mixed,1,7667,0.708,log (% emphysema + 1),Males and females,Lung disease,2014,emphysema pattern measurement,EFO:0005850,high
Percent emphysema,public,Manichaikul A,Risk factor,MESA,1020,1,NA,NA,NA,2585998,24383474,Hispanic,4,2065,0.663,log (% emphysema + 1),Males and females,Lung disease,2014,,,
Percent emphysema,public,Manichaikul A,Risk factor,MESA,1021,1,NA,NA,NA,2011196,24383474,Chinese,5,702,0.697,log (% emphysema + 1),Males and females,Lung disease,2014,,,
Percent emphysema,public,Manichaikul A,Risk factor,MESA,1022,1,NA,NA,NA,2390490,24383474,European,2,2431,0.719,log (% emphysema + 1),Males and females,Lung disease,2012,,,
Percent emphysema,public,Manichaikul A,Risk factor,MESA,1023,1,NA,NA,NA,2681851,24383474,African American,3,2469,0.736,log (% emphysema + 1),Males and females,Lung disease,2015,,,
PGC cross-disorder traits,public,Smoller JW,Disease,PGC,803,1,33332,27888,PGC (psychiatric genomics consortium),1249700,23453885,European,1,61220,NA,log odds,Males and females,Psychiatric / neurological,2015,mental or behavioural disorder,EFO:0000677,high
Plasma cortisol,public,Bolton JL,Risk factor,CORNET,1012,1,NA,NA,NA,2660192,25010111,European,1,12597,NA,SD,Males and females,Hormone,2015,cortisol measurement,EFO:0005843,high
Platelet count,public,Gieger C,Risk factor,HaemGen,1008,1,NA,NA,NA,2703394,22139419,European,1,66867,59.934,1x10^9/l,Males and females,Haemotological,2015,platelet count,EFO:0004309,high
Primary biliary cirrhosis,immunobase_users,Liu,Disease,NA,281,1,2861,8514,Immuno-chip; effect allele frequencies are missing,116028,22961000,European,1,11375,NA,log odds,Males and females,Autoimmune / inflammatory,2011,,,
Primary biliary cirrhosis,immunobase_users,Cordell,Disease,NA,287,1,2764,10475,Effect allele frequencies are missing,1134142,26394269,European,1,13239,NA,log odds,Males and females,Autoimmune / inflammatory,2015,primary biliary cirrhosis,EFO:1001486,high
Psoriasis,immunobase_users,Tsoi,Disease,NA,282,1,10588,22806,Immuno-chip; effect allele frequencies are missing,110345,23143594,European,1,33394,NA,log odds,Males and females,Autoimmune / inflammatory,2011,psoriasis,EFO:0000676,high
Putamen volume,public,Hibar,Risk factor,ENIGMA,1047,1,NA,NA,adjusted for intracranial volume,7282885,25607358,European,1,30717,NA,mm3,Males and females,Psychiatric / neurological,2012,putamen volume,EFO:0006932,high
Red blood cell count,public,van der Harst P,Risk factor,HaemGen,275,1,NA,NA,Effect allele frequencies are missing,2589455,23222517,Mixed,1,66214,0.48,10^12/L,Males and females,Haemotological,2015,erythrocyte count,EFO:0004305,high
Rheumatoid arthritis,immunobase_users,Eyre,Disease,NA,283,1,11475,15870,Immuno-chip; effect allele frequencies are missing,113520,23143596,European,1,27345,NA,log odds,Males and females,Autoimmune / inflammatory,2015,,,
Rheumatoid arthritis,public,Okada Y,Disease,NA,831,1,4873,17642,Effect allele frequencies are missing; forward strand build 37,6619872,24390342,East Asian,1,22515,NA,log odds,Males and females,Autoimmune / inflammatory,2013,,,
Rheumatoid arthritis,public,Okada Y,Disease,NA,832,1,14361,43923,Effect allele frequencies are missing; forward strand build 37,8747963,24390342,European,1,58284,NA,log odds,Males and females,Autoimmune / inflammatory,2015,,,
Rheumatoid arthritis,public,Okada Y,Disease,NA,833,1,19234,61565,Effect allele frequencies are missing; forward strand build 37,9739304,24390342,Mixed,1,80799,NA,log odds,Males and females,Autoimmune / inflammatory,2010,rheumatoid arthritis,EFO:0000685,high
Rheumatoid arthritis,public,Stahl EA,Disease,NA,834,1,5539,20169,Effect allele frequencies are missing,2556272,20453842,European,2,25708,NA,log odds,Males and females,Autoimmune / inflammatory,NA,,,
Sarcoidosis,public,Hofmann S,Disease,NA,981,1,637,1233,NA,764189,22936702,European,1,1870,NA,log odds,Males and females,Autoimmune / inflammatory,NA,,,
Schizophrenia,public,Ripke S,Disease,PGC,22,1,35476,46839,Effect allele frequencies are missing,9444231,25056061,Mixed,1,82315,NA,log odds,Males and females,Psychiatric / neurological,NA,schizophrenia,EFO:0000692,high
Schizophrenia,public,NA,Disease,NA,810,1,954,1195,Effect allele frequencies are missing,809849,NA,Mixed,3,2149,NA,log odds,Males and females,Psychiatric / neurological,NA,,,
Selenium,public,Evans,Risk factor,NA,1075,1,NA,NA,Effect allele frequencies are missing,2451527,23720494,European,1,2874,NA,SD,Females,Metal,NA,,,
Selenium,public,Evans,Risk factor,NA,1076,1,NA,NA,Effect allele frequencies are missing,36697,23720494,European,1,2874,NA,SD,Females,Metal,NA,,,
Selenium,public,Evans,Risk factor,NA,1077,1,NA,NA,Effect allele frequencies are missing,2543617,23720494,European,1,2603,NA,SD,Males and females,Metal,2013,serum selenium measurement,EFO:0005266,high
Selenium,public,Evans,Risk factor,NA,1078,1,NA,NA,Effect allele frequencies are missing,13771,23720494,European,1,2603,NA,SD,Males and females,Metal,2015,,,
Serum creatinine (eGFRcrea),public,Pattaro,Risk factor,CKDGen,1099,1,NA,NA,NA,2453513,26831199,African American,1,16474,0.24,log ml/min/1.73 m^¶ý,Males and females,Kidney,2014,,,
Telomere length,developer,Mangino M,Risk factor,NA,997,0,NA,NA,Sample size is used for weighting in meta analysis; only p values are available,2735694,23001564,European,2,9190,0.65,kilobase pair,Males and females,Biomarker,2012,,,
Serum creatinine (eGFRcrea),public,Pattaro,Risk factor,CKDGen,1103,1,NA,NA,In subjects with diabetes mellitus,2197064,26831199,Mixed,3,11529,0.24,log ml/min/1.73 m^¶ý,Males and females,Kidney,2012,,,
Serum creatinine (eGFRcrea),public,Pattaro,Risk factor,CKDGen,1104,1,NA,NA,Subjects with diabetes mellitus excluded,2198288,26831199,Mixed,2,118460,0.24,log ml/min/1.73 m^¶ý,Males and females,Kidney,2016,,,
